,city,Long,Lat,Temp (k),Humidity,Cloudiness,Wind Speed,Country,Date
0,fagersta,15.79,60.0,288.45,82,22,1.5,SE,1597619846
1,luderitz,15.16,-26.65,286.75,52,0,7.77,NA,1597619228
2,albany,-73.97,42.6,295.72,60,27,3.07,US,1597619205
3,manga,-1.07,11.66,296.53,89,70,1.88,BF,1597619847
4,te anau,167.72,-45.42,277.35,82,75,0.33,NZ,1597619485
5,punta arenas,-70.92,-53.15,274.98,80,75,8.2,CL,1597619218
6,cape town,18.42,-33.93,280.26,93,100,3.1,ZA,1597619443
7,kaeo,173.78,-35.1,287.59,3,100,4.02,NZ,1597619848
8,ushuaia,-68.3,-54.8,274.15,80,75,13.4,AR,1597619419
9,pampierstad,24.69,-27.78,271.83,86,0,0.57,ZA,1597619848
10,castro,-50.01,-24.79,288.68,94,91,3.08,BR,1597619222
11,dingle,122.67,11.0,298.92,86,39,0.84,PH,1597619533
12,puerto ayora,-90.35,-0.74,294.26,80,36,0.89,EC,1597619495
13,barstow,-117.02,34.9,316.27,9,1,4.6,US,1597619817
14,rikitea,-134.97,-23.12,294.46,79,1,5.51,PF,1597619213
15,bella vista,-94.23,36.43,303.19,35,1,3.6,US,1597619711
16,mar del plata,-57.56,-38.0,283.65,50,90,6.2,AR,1597619490
17,hilo,-155.09,19.73,299.95,62,20,5.7,US,1597619216
18,mataura,168.86,-46.19,278.15,98,80,1.34,NZ,1597619214
19,butaritari,172.79,3.07,300.43,63,99,0.5,KI,1597619480
20,marsa matruh,27.25,31.35,297.15,94,20,2.6,EG,1597619851
21,dolores,-57.68,-36.31,281.59,59,22,3.42,AR,1597619851
22,hermanus,19.23,-34.42,279.82,91,100,0.45,ZA,1597619472
23,los llanos de aridane,-17.92,28.66,297.37,73,10,5.1,ES,1597619526
24,vynohradove,32.94,46.37,290.45,58,0,0.89,UA,1597619852
25,leningradskiy,178.42,69.38,280.73,90,100,1.89,RU,1597619527
26,port alfred,26.89,-33.59,283.85,70,47,5.5,ZA,1597619461
27,bandarbeyla,50.81,9.49,297.27,78,16,13.59,SO,1597619853
28,templin,13.5,53.12,292.38,52,13,3.25,DE,1597619853
29,puerto del rosario,-13.86,28.5,296.15,69,0,5.7,ES,1597619853
30,west wendover,-114.07,40.74,310.15,10,1,4.1,US,1597619854
31,busselton,115.33,-33.65,280.5,84,96,7.71,AU,1597619468
32,vallenar,-70.76,-28.57,289.0,45,0,1.16,CL,1597619854
33,henties bay,14.28,-22.12,285.37,87,0,0.45,NA,1597619672
34,awjilah,21.29,29.11,301.5,47,0,5.63,LY,1597619855
35,miranda,-76.23,3.25,293.15,82,90,2.6,CO,1597619855
36,clyde river,-68.59,70.47,278.15,86,90,9.3,CA,1597619514
37,shingu,135.98,33.73,304.15,58,40,1.0,JP,1597619856
38,statesville,-80.89,35.78,298.62,65,1,1.3,US,1597619856
39,san patricio,-104.7,19.22,303.15,74,20,5.1,MX,1597619471
40,saint-augustin,-58.65,51.23,293.58,56,0,7.51,CA,1597619311
41,bluff,168.33,-46.6,278.15,98,81,1.34,NZ,1597619231
42,meiktila,95.87,20.87,296.18,92,100,7.33,MM,1597619564
43,vaini,-175.2,-21.2,295.15,68,75,4.1,TO,1597619225
44,kawambwa,29.08,-9.79,289.25,33,95,3.09,ZM,1597619857
45,dikson,80.55,73.51,280.35,95,100,5.89,RU,1597619476
46,aksu,80.26,41.12,297.0,22,74,1.8,CN,1597619858
47,upernavik,-56.15,72.79,278.34,67,1,1.88,GL,1597619312
48,sola,167.55,-13.88,300.15,78,90,3.1,VU,1597619541
49,sao mateus,-39.86,-18.72,296.23,88,3,3.41,BR,1597619730
50,torbay,-52.73,47.67,288.78,55,5,4.1,CA,1597619507
51,helena,-112.04,46.59,307.02,11,1,5.7,US,1597619594
52,irapuato,-101.35,20.68,299.15,44,75,4.78,MX,1597619671
53,faanui,-151.75,-16.48,298.51,71,1,5.47,PF,1597619488
54,lebu,-73.65,-37.62,282.63,85,80,1.96,CL,1597619499
55,karratha,116.85,-20.74,291.55,55,33,4.4,AU,1597619704
56,pathein,94.73,16.78,298.4,92,100,2.01,MM,1597619768
57,rio grande,-52.1,-32.03,280.37,92,0,2.29,BR,1597619861
58,anito,125.29,12.45,299.77,85,63,1.05,PH,1597619515
59,tuatapere,167.68,-46.13,278.15,98,52,1.79,NZ,1597619470
60,atuona,-139.03,-9.8,298.86,75,5,7.2,PF,1597619481
61,jiwani,61.74,25.05,301.18,81,98,2.17,PK,1597619862
62,lavrentiya,-171.0,65.58,285.65,63,100,3.39,RU,1597619511
63,bethel,-73.41,41.37,291.56,88,90,4.1,US,1597619564
64,richards bay,32.04,-28.78,289.11,56,81,3.5,ZA,1597619862
65,thompson,-97.86,55.74,289.15,59,75,5.1,CA,1597619515
66,cidreira,-50.21,-30.18,286.02,66,46,3.33,BR,1597619220
67,lorengau,147.27,-2.02,301.82,74,54,4.23,PG,1597619504
68,port said,32.28,31.26,299.15,78,0,3.1,EG,1597619863
69,goderich,-81.72,43.75,295.19,84,44,2.24,CA,1597619747
70,taquari,-51.86,-29.8,285.0,92,62,1.1,BR,1597619864
71,alofi,-169.92,-19.06,298.15,57,75,8.2,NU,1597619612
72,beringovskiy,179.32,63.05,284.45,86,100,3.87,RU,1597619479
73,zima,102.04,53.92,282.01,78,0,0.94,RU,1597619864
74,half moon bay,-122.43,37.46,299.38,72,1,5.1,US,1597619865
75,tiksi,128.87,71.69,280.65,70,1,1.34,RU,1597619221
76,miandrivazo,45.47,-19.52,294.55,61,0,0.41,MG,1597619595
77,touros,-35.46,-5.2,297.15,88,6,3.1,BR,1597619535
78,airai,125.41,-8.93,289.9,61,1,1.2,TL,1597619460
79,aklavik,-135.01,68.22,284.15,81,90,2.6,CA,1597619532
80,nemuro,145.57,43.32,291.66,85,2,3.13,JP,1597619866
81,mahebourg,57.7,-20.41,295.15,73,40,6.7,MU,1597619315
82,ballina,153.57,-28.87,288.06,54,0,4.1,AU,1597619867
83,lata,-8.33,40.16,292.26,88,90,0.45,PT,1597619299
84,presidencia roque saenz pena,-60.44,-26.79,287.49,44,0,2.5,AR,1597619867
85,severo-kurilsk,156.12,50.68,284.24,87,67,2.73,RU,1597619524
86,paris,2.35,48.85,291.37,93,4,1.5,FR,1597619774
87,kodiak,-152.41,57.79,297.15,36,1,5.1,US,1597619215
88,san jose,-121.89,37.34,309.93,35,40,4.1,US,1597619691
89,tuktoyaktuk,-133.04,69.45,284.15,87,90,3.6,CA,1597619225
90,sisimiut,-53.67,66.94,282.38,65,0,2.6,GL,1597619869
91,aguas vermelhas,-41.46,-15.75,292.62,83,5,2.33,BR,1597619869
92,san policarpo,125.51,12.18,300.02,82,97,1.64,PH,1597619688
93,pontian kecil,103.39,1.48,298.33,94,20,1.02,MY,1597619870
94,durban,31.03,-29.86,288.15,58,75,2.6,ZA,1597619870
95,ahipara,173.17,-35.17,287.14,65,92,6.64,NZ,1597619222
96,hambantota,81.12,6.12,299.18,81,98,7.24,LK,1597619509
97,tual,132.75,-5.67,299.08,79,60,8.54,ID,1597619524
98,asau,26.4,46.43,289.82,91,100,0.79,RO,1597619301
99,zarubino,131.09,42.63,295.17,85,50,0.99,RU,1597619871
100,yulara,130.99,-25.24,288.15,44,40,2.1,AU,1597619872
101,acari,-74.62,-15.43,289.04,67,84,1.96,PE,1597619872
102,saint-philippe,55.77,-21.36,287.28,63,40,3.1,RE,1597619469
103,askino,56.58,56.09,283.09,93,100,3.9,RU,1597619872
104,yellowknife,-114.35,62.46,288.84,58,75,4.6,CA,1597619500
105,college,-147.8,64.86,293.62,45,20,1.5,US,1597619734
106,muroto,134.15,33.28,301.15,69,37,4.1,JP,1597619861
107,malindi,40.12,-3.22,297.32,82,86,5.97,KE,1597619587
108,muros,-9.06,42.78,292.59,92,86,5.81,ES,1597619563
109,souillac,57.52,-20.52,292.15,88,75,5.1,MU,1597619483
110,japura,102.35,-0.32,296.0,97,34,0.82,ID,1597619874
111,olafsvik,-23.71,64.89,285.49,88,77,1.84,IS,1597619476
112,nikolskoye,30.79,59.7,286.55,63,0,1.26,RU,1597619543
113,miri,114.01,4.41,298.15,88,20,1.0,MY,1597619875
114,gao,1.64,16.64,306.8,35,3,2.65,ML,1597619597
115,samana,-69.34,19.21,301.15,88,75,2.45,DO,1597619875
116,hobart,147.33,-42.88,283.96,93,75,2.6,AU,1597619466
117,kaitangata,169.85,-46.28,281.48,86,96,1.47,NZ,1597619523
118,saint-louis,-15.0,16.33,305.77,53,30,7.06,SN,1597619876
119,artvin,41.83,41.17,293.15,82,75,4.6,TR,1597619876
120,bredasdorp,20.04,-34.53,281.15,81,99,2.6,ZA,1597619463
121,rabo de peixe,-25.58,37.8,296.15,88,75,5.7,PT,1597619877
122,eschwege,10.07,51.18,292.06,77,90,1.44,DE,1597619877
123,riyadh,46.72,24.69,306.15,17,25,2.6,SA,1597619517
